"drug","formulary_drug_cd"
"Fosphenytoin","FOSP500I"
"Mebaral","MEPH32"
"Ibuprofen Suspension","IBUP200L"
"Fosaprepitant","FOSA150I"
"GlycoLax","GLYC17"
"acetylc","MUCOM20"
"Megestrol ","MEGE800L"
"Prelone",NULL
"ZOFRAN ODT","ONDA8ODT"
"Bupivacaine 0.1%","BUPI0.1CADD"
"Sodium Bicarbonate 4.2% (2.4meq)","NEUT1I"
"Albumin 5%","ALBU5250"
"Famotidine","FAMO20SM"
"Thyroid",NULL
"Phytonadione","PHYT10I"
"Hyoscyamine SO4 (Time Release)","HYOS.375"
"PredniSONE","PRED5"
"Bag","BAG50I"
"Cefotetan Disodium","CEFOT2I"
"NS Epidural Bag (0.9% NaCl)","EPIBAG2"
"esomeprazole",NULL
"Procardia XL","NIFXL60"
"Water",NULL
"Torsemide","TORS10"
"Glucophage XR","METF500XR"
"NIFEdipine","NIFE20"
"Mycophenolate Mofetil","MYCO200/1L"
"Hexavitamin","MULT5L"
"Zestoretic",NULL
"Ferrous Sulfate","FERR325"
"Calcium Acetate","CALC667"
"Concerta (methylphenidate)",NULL
"Ascorbate Sodium","ASCO1000I"
"BENDAmustine","BEND100I"
"Benazepril HCl","BENA20"
"Amitiza","LUBI24"
"Albuterol","ALBU5H"
"Tasmar","TOLC100"
"budesonide",NULL
"Cepacol","CEPACOL1"
"simvastatin or placebo ","SIMVIND"
"Procardia XL","NIFXL30"
"Glyburide/Metformin (1.25mg-250mg)","GLU125/250"
"orphenadrine citrate",NULL
"Heparin Flush (1000 units/ml)","HEP10I"
"Nafcillin","NAFC2F"
"Calcium Gluconate","CALGLUCNEO"
"polysporin","POLYEO"
"NEO*PO*Acetazolamide (20mg/1ml)","NEOACET2"
"Heparin Flush Hickman (100 units/ml)","HEPF100I"
"Niacin SR","NIAC250SR"
"D5W","LIDOBASE"
"Betamethasone Valerate 0.1% Cream","BETAVAL0.1/15C"
"Quinapril","QUIN40"
"Potassium Chl 20 mEq / 1000 mL D5W","KCL20/1000D5W"
"Morphine Sulfate","MORP1-4"
"Sevelamer carbonate (Renvela)",NULL
"aspirin",NULL
"guaifen","GUAI600T"
"OxycoDONE","OXYCO5L"
"CycloSPORINE (Sandimmune)","CSA50I"
"Pradaxa","DABI150"
"LIDODERM PATCHES","LIDO5T"
"Prochlorperazine","PROC10I"
"Sulfamylon","MAFE5"
"Promit",NULL
"Propantheline Bromide","PROP15"
"Thiamine","THIAM100I"
"Multivit","MULT5L"
"NEO*PO*Hydralazine","NEOHYDP"
"Zebeta","BISO5"
"Fluvoxamine Maleate","FLUV100"
"Chlorothiazide","CHLO250"
"MORPHINE SULFATE","MORP2I"
"mu","MULT5L"
"Hydrocortisone Cream 1%","HYDR1C"
"Tolvaptan / Placebo","TOLVIND"
"Acetylcysteine 20%","ACETNEB"
"SEROquel XR",NULL
"Nicardipine HCl","NICA30"
"D17.5W","D17.5W250I"
"Glycerin (Laxative)",NULL
"Methazolamide","METZ50"
"VITAMIN K1","PHYT10I"
"Pilocarpine 4%","PILO1O"
"Hydromorphone P.F.","HYDR2PF"
"Primidone","PRIM50"
"Folic Acid","FOLI5I"
"Unithroid",NULL
"Clozapine","CLOZ25"
"Metoprolol","TOPR50"
"Prevacid","LANS30"
"Succinylcholine","SUCC20I"
"Carboplatin","CARB450I"
"NS","DEXTRANBAGNS"
"Midodrine HCl","MIDO5"
"Aspirin","ASA300R"
"Magnesium Sulfate","EPSOM"
"cepacol","CEPACOL1"
"Digoxin Elixir","DIG5P"
"Neomycin/Polymyxin B Sulfate","NEOS1IRR"
"Lidocaine Jelly ","LIDO2/5J"
"Niaspan","NIAC250SR"
"*NF* Imatinib",NULL
"MethylPREDNISolone Sodium Succ","METH125I"
"Requip","ROPI1"
"Reopro","REOPI"
"Lidocaine ","LIEP550I"
"Hyoscyami","LEVS125"
"Ondansetron","ONDA40I"
"ASA81","ASA81"
"Augmentin Suspension","AUGM875"
"Proventil HFA",NULL
"Amoxicillin Trihydrate","AMOX500"
"Divalproex Sodium","VAL250L"
"Amantadine","AMANT50MG"
"CycloSPORINE ","NEOR25"
"Theophylline ","THEO100"
"Gentamicin Sulfate","GENT20I"
"Tocopheryl",NULL
"Pulmicort Flexhaler","BUDE200H"
"PACLItaxel (TaxOL)","TAXO30I"
"Medroxyprogesterone Acetate","MEDR10"
"Pilopine HS",NULL
"Fentanyl Citrate","FENT250I"
"Theophylline ","THEO200"
"ERYTHROMYCIN","ERYT250"
"levo","LEVO100"
"NIFEdipine","NIFE10"
"Sterile Water","SW10I"
"Bupivacaine 0.25%-Epinephrine","BUPIWE25I"
"Epogen",NULL
"Liposomal Cytarabine (Depocyt)","CYTA50I"
"Mumps Skin Test","MUMPS"
"Disopyramide Phosphate","DISO100"
"Megestrol Oral Suspension","MEGE400L"
"D15W","D15W250I"
"Diltiazem Extended-Release","TIAZ360"
"K-Lor","MICROK10"
"Dexamethasone","DEXA4I"
"amphotericin B (bulk)",NULL
"Riboflavin","RIBO50"
"Fenofibrate Nanocrystallized","FENO48"
"Venlafaxine","VENL375"
"Clindamycin Suspension","CLIN75L"
"Loxapine Succinate","LOXA5"
"Dextrose 5%","D5W100"
"Bortezomib","BORT3.5I"
"Penicillin G Potassium","PENI2F"
"Calcium Replacement (Oncology)","CALG1I"
"gala","GALA4"
"Simvastatin or Placebo (*IND*)","SIMVIND"
"Carbidopa-Levodopa (25-100)","SINM25100"
"Factor IX Complex","PROFVIAL"
"Keppra","LEVE500"
"Aluminum","MAAL30L"
"Propranolol","PROP1I"
"Diclofenac Sodium DR","DICL25"
"Insulin novolog",NULL
"Insulin Pump","INSUPUMP"
"Phenytoin Infatab","PHENY100L"
"NEO*PO*Bicitra","NEOBIC"
"Benztropine Mesylate","BENZ2"
"balsa","BALS750"
"Fenofibric Acid","FENO145"
"Simulect","SIMU20I"
"OLANZapine","OLAN10ODT"
"SODium Chloride","NACL234"
"Phenaseptic Throat Spray","CHLO180S"
"Vitamin K1","PHYT10I"
"Povidone Iodine 10% Ointment","POVI30O"
"Phosphorus","NEUT"
"Oxycodone SR (OxyconTIN)","OXYC20"
"sevelamer ","RENV800"
"Triple Paste",NULL
"Gentamicin Intraventricular","GENT20IVT"
"Fluoxetine","PROZ20"
"Enalapril Maleate","ENAL5"
"Candesartan","CAND16"
"Neutra-Phos","NEUT"
"rizatriptan","RIZA10"
"Propranolol HCl","PROP1I"
"Sorbitol","SOR30L"
"Acetaminophen w/Codeine Elixir","T3"
"Omeprazole","LANS30ST"
"dilan","PHENY100L"
"Acetazolamide Sodium","ACE500I"
"Uloric","FEBU40"
"Cromolyn Sodium","CROM800H"
"NS","NS100G"
"Amoxapine",NULL
"Dantrolene Sodium","DANT20I"
"Syringe (0.9% Sodium Chloride)","NS20SYR"
"Morphine Sulfate (Oral Soln.)","MOR10L"
"Anusol Ointment 1%","ANUS1O"
"Levetiracetam",NULL
"Acebutolol","ACEB200"
"Ropinirole Hydrochloride","ROPI2"
"Metoprolol Tartrate",NULL
"Bacitracin","BACICAP"
"Sotalol HCl","SOTA80"
"HydrALAzine","HYDZ25"
"Emtricitabine-Tenofovir","TRUV200/300"
"Iloprost",NULL
"CONCERTA","METH36"
"Morphine Sulfate","MORP1-5"
"Pangestyme-EC","PANCEC"
"Heparin Sodium","HEPA10MUI"
"Misoprostol","MISO100"
"Azithromycin","ZITHR250"
"asa","ASA325"
"PlasmaLyte","PLAS1000I"
"Dexamethasone Sod Phosphate","DEXAM20I"
"Nevirapine",NULL
"Oxycodone","OXYC5"
"norethindrone acetate",NULL
"GammaGARD Liquid","GAMML30I"
"Promethazine HCl","SYRG1"
"Biscolax","BISA10R"
"Chlorothiazide","CHLO500"
"Clonidine HCl","CATA2"
"Sanctura","TROS20"
"Epinephri","EPIPEN0.3I"
"Phos","NEUT"
"Granisetron HCl","KYTR1"
"NEO*IV*Penicillin G Potassium","NEOPENG2I"
"D5W","MILRBASE"
"Methyldopa","METP250"
"Tobramycin Fortified Ophth. 15mg/ml",NULL
"Docusate Sodiu","DOCU100L"
"Prosom ",NULL
"FTY720 2.5MG OR PLACEBO CAPSULE","FTY7202.5IND"
"Uroxatral",NULL
"Estrogens Conjugated","ESTR3"
"Darifenacin",NULL
"OLANZapine","OLAN2.5"
"Rituximab Desensitization","RITU500DESEN"
"*NF* Esomeprazole","ESOM20"
"DAUNOrubicin","DAUNO20I"
"Risperidone","RISP1"
"Metoprolol Tartrate","METO5I"
"colestipol","COLE1"
"Atacand",NULL
"Lamivudine","LAMI150"
"Urea","UREA20C"
"Elidel",NULL
"Lorazepam","LORA2PB"
"Acetamin","ACET650L"
"Methenamine Mandelate","MEMA1"
"Vincristine Sulfate","VINC2I"
"Preparation H",NULL
"Fluoxetine","FLUO20L"
"Cyclophosphamide","CYCL1IV"
"Indomethacin","INDO25"
"clomi","CLOM25"
"Lidocaine 2%/Epinephrine","LIEP220I"
"D5W W/ 0.1% Albumin","D5W0.1ALB250"
"Desonide 0.05% Cream","DESO15C"
"Carbamazepine Suspension","CARB200"
"K-Dur","MICROK10"
"Procainamide","PROC100I"
"Cholestyramine","CHOL4G"
"Hydroxychloroquine Sulfate","HYDC200"
"sorafenib","SORA200"
"Cortrosyn","CORTIND"
"Propranolol","PROP40"
"Gatifloxacin","GATI0.3O"
"*NF* Famciclovir","FAMC250"
"Aminocaproic ","AMIC250L"
"Quinupristin/Dalfopristin","SYNE500I"
"Vancomycin Intraventricular","VANCOINV"
"Hydromorphone","HYDR12.5LF"
"Megestrol","MEGE400L"
"Lipram-CR5",NULL
"Heparin Flush CVL  (100 units/ml)","HEPF100I"
"Rhinocort Aqua",NULL
"Xopenex Neb","LEVA0.63L"
"Isosorbide Mononi","IMDU30"
"Vancomycin Enema","VANCOPR"
"Morphine Sulfate (Concentrated Oral Soln)","MOR10L"
"Tylenol  Meltaways",NULL
"fentaNYL citrate (PF)","FENT2I"
"Clonidine HCl","CATA1"
"Albumin","ALBU5250"
"Nicoti","NIAC500SR"
"Prilosec",NULL
"Potassium Chloride","POTA20"
"Riboflavin (Vitamin B-2)","RIBO50"
"Multivita","MULT5L"
"Loteprednol Etabonate",NULL
"Ondansetron","ONDA4ODT"
"Neurontin","GABA250L"
"DiCLOXacillin","DICL500"
"Epinephrin","EPI1I"
"Bupropion HCl","BUPR75"
"Bag","BAG250I"
"Flaxseed Oil",NULL
"Influenza A (H1N1) Vaccine","H1N1VACC"
"lansoprazole","LANS30ST"
"Dicloxacillin","DICL250"
"Uro-Mag","MAGO140"
"MAALOX",NULL
"Phenytoin Sodium (IV)","PHEN250I"
"JANUVIA","SITA100"
"Methyldopa","METH500"
"NEO*IV*Gentamicin","GENT10I"
"Travoprost (Benzalkonium)","TRAV004OS"
"Carbamazepine Suspension","CARB200L"
"Heparin (Preservative Free)","HEPAR10I"
"Acyclovir","ACY500I"
"Actonel","RISE35"
"desvenlafaxine",NULL
"heparin","HEPA100SYR"
"NS (Syringe)","NS10MLS"
"Artificial ","ARTI3.5O"
"sodium chlor","SODI65S"
"Phenylephrine 2.5 %","PHEN25ES"
"Carbamazepine","CARB200L"
"Dipyridamole","DIPY75"
"Zarontin","ETHO50L"
"Amoxicillin-Clavulanate Susp.","AUGM500L"
"Lidocaine 4%","LIDO45I"
"Morphine Sulfate (1-5mg)","MORP1-5"
"0.9% Sodium Chloride (EXCEL BAG)","EXCELNS500"
"NEO*IV*Digoxin","PEDDIG0.1"
"Doxazosin","DOXA2"
"Abacavir Oral Solution","ABAC300"
"Tretinoin Suspension","TRET50L"
"Nifedipine","NIFXL90"
"Quetiapine Oral Suspension","QUET25L"
"Acetylcysteine 20%",NULL
"ACCUZYME","PAPA30O"
"loper","LOPE2"
"cil","CILOS100"
"Sarafem",NULL
"NEO*PO*Lorazepam Oral Concentrate","LORA2I"
"Patanol",NULL
"timolol","TIMO5ES"
"Albuterol-Ipratropium","ALBU17H"
"Morphine ","MORP5I"
"Cocaine 4% Soln","COCA4T"
"Tyzeka (Telbivudine)",NULL
"Sodium Chloride","MURO5O"
"Junel FE 1.5/30 (28)",NULL
"Amoxicillin","AUGM250"
"Heparin Flush CVL  (100 units/ml) ","HEPA100SYR"
"Epinephrine Inhalation","EPI15H"
"Ferrous","FERR300L"
"Sirolimus","SIRO1"
"Elmiron",NULL
"Hepatitis B Immune Globulin (Nabi-HB)",NULL
"Atropine Sulfate","ATRO20I"
"*NF* Epirubicin","EPIR50I"
"Famciclovir","FAMC250"
"*NF* Arginine HCl","ARGI10I"
"Loraz","LORA1"
"Insulin Humalog 75/25 Pen",NULL
"irbesartan","IRBE300"
"Heparin (Preserv. Free)","HEP10UI"
"Piperacillin-Tazobactam","ZOSY2000I"
"NEO*IV*Piperacillin-Tazobactam","NEOZOSYN"
"Isradipine","ISRA25"
"Ribavirin","RIBA200"
"NEO*IM*Haemophilus B  Conj Vac","ACTHIBNEO"
"METFORMIN XR",NULL
"Albumin ","ALBU25"
"Kaolin-Pectin/Benadryl/Lido Visc.","KBL120L"
"potas","KCL20P"
"NEO*IV*Insulin (Dilute)","INSNEO"
"*NF* Gelclair","GELCLAIR"
"Nexium 40mg capsules","ESOM20"
"Lactulose Enema","LACT500R"
"degarelix",NULL
"Avodart( dutasteride)",NULL
"Methylprednisolone Sodium Succ","MPRED0"
"Gentamic","GENTFORT"
"Tocopheryl","VITE100"
"Vancomycin Enema","VANC500PR"
"Glucagon","GLUC1000I"
"Phenylephrine HCl 1%",NULL
"Magnesium ","MAG2PM"
"Bacitracin-Polymyxin Ointment","POLY15O"
"Aspirin 325 mg or placebo","ASPI325INDP"
"*NF* Potassium Chloride","NEOKCL1.3L"
"CeftazIDIME","CEFT2F"
"*nf*  Loteprednol 0.2% ophth",NULL
"Lyrica","PREG75"
"PROPOFOL (*GENERIC*)","PROP500IG"
"Epinephrine","EPI1I"
"Zebeta",NULL
"Sodium Chloride","SODI4I"
"diltia","TIAZ180"
"Chlorpheniramine-Hydrocodone","TUSS5L"
"Sodium Chloride (23.4%) Kit","ICPKIT"
"Dextrose 20% in Water (D20W)","D20W500I"
"Sulfameth/Trimethoprim SS","BACTSS"
"Mycophenolate ","MYCO1000L"
"galantamine","GALA4"
"Basis","BASIS"
"Vigamox",NULL
"haemo","HAEM5I"
"LaMOTrigine","LAMO25BRAND"
"PARoxetine HCl","PARO20"
"heparin","HEP1I"
"0.45% Sodium Chloride","NS45500"
"Pentobarbital Sodium","PENT50S"
"Epoetin Alfa","EPO3I"
"Vytorin 10-20",NULL
"Sulfadiazine","SULFA500"
"Clobetasol Propionate",NULL
"Albumin 5% (12.5 g)","ALBU5250"
"Guaifenesin","GUAI10L"
"Mannitol","MANN25IV"
"Oxycodone-Acetaminophen Elixir","ROXIOS"
"K-DUR","KCL20P"
"Imodium A-D *NF*",NULL
"Aspirin","ASA325"
"Diazepam","DIAZ10"
"fish oil","FISH1000"
"Rituximab","RITU100I"
"Oxaliplatin","OXAL50I"
"Epinephrine Topical Soln","EPI1N"
"Hydrocodone-Acetaminophen (5mg-500mg","VICODIN"
"DiphenhydrAMINE","DIPH125L"
"Nystatin Oral Suspension","NYST60LSM"
"Quinidine Sulfate","QUIN200"
"NORepinephrine","NORE8/250"
"Posaconazole Suspension","POSA200L"
"Dextrose 5%","D5W1000"
"Excedrin Extra Strength",NULL
"Amitriptyline","AMIT50"
"BusPIRone","BUSP5"
"Hydralazine HCl","HYDZ25"
"Cefpodo","CEFP100"
"Prismasate (B22 K4)","PRISMAB22K45000"
"primiDONE","PRIM"
"Kaolin-Pectin/Benadryl/Lido Visc.","KBL240L"
"Tobramycin","TOBR80I"
"sod","NABC50I"
"Gaviscon Extra Strength","GAVITAB"
"Amlodipine","AMLO5"
"Carteolol 1% Ophth Soln","CART1ES"
"Dopamine","ASA325"
"Captopril","BUME2"
"Nicardipine HCl","NICA2.5I"
"Dilantin Infatabs","PHEN50"
"Lidocaine 1%","LIDPF1I"
"Fentanyl Patch","FENT12P"
"Acetylcystei","ACET20/4I"
"Hydromorphone PCA","HYD12.5PCA"
"Symbicort","SYMB80/4.5IH"
"5% Dextrose","D5W25"
"aspirin","ASA81EC"
"Insulin","RHIIND"
"Insulin Aspart *NF*","NOVO100I"
"Lidocaine","LIDPF1I"
"Levoth","LEVO75"
"Morphine Sulfate (Concentrated Oral Soln)","MORP20/30L"
"Ibuprofen","IBUP400"
"Famotidine","FAMO20PM"
"Carbamazepine","CARB100T"
"Janumet",NULL
"prednisolone acetate","ECON1C"
"gent","GENT3ES"
"Syringe (Neonatal)","NEOSYR"
"Colistimethate Sodium","COLI150I"
"Sulfacetamide 10% Ophth Soln.","BLEP10ES"
"aspir","ASA325"
"Potassium Chl","KCL20P"
"*NF* Temozolomide","TEMO5"
"Hepatitis B Vaccine","HEPVACCR"
"Ascorbic Acid (Liquid)","ASCO500L"
"Travoprost","TRAV004OS"
"Unoprostone Isopropyl",NULL
"BIMATOPROST (Lumigan)",NULL
"Vitamin A","VITA5I"
"Remifentanil HCl","REMI1I"
"Phenytoin Sodium","PHEN100IVPB"
"Lithium Carbonate","LITH300C"
"Sodium Bicarbo","NABC50I"
"Amoxicillin","AMOX250L"
"HALOPERIDOL","HALD5I"
"Aminocaproic Acid","AMIN500"
"Oxazepam","OXAZ10"
"hyo","LEVS125"
"Scot-Tussin Expectorant","GUAISF120L"
"*NF* Glimepiride","GLIM2"
"Erythromycin","ERYT25L"
"Carbamazepine",NULL
"SulfaSALAzine","SULF500EC"
"Nicotine Lozenge","NICO2L"
"estrogen/medroxyprogestrone",NULL
"Levothyroxine Sodium","LEVO75"
"NEO*PO*Caffeine Citrate","CAFCIT"
"Tenofovir Disoproxil Fum.","TENO300"
"Nitroglycerin SR","NTG25"
"Furosemide","FURO40"
"H","HEP1I"
"Divalproex Sodium ER","DIVA250ER"
"Cyclosporine Modified (Neoral)","NEOR100L"
"NEO*PO*Hydrocortisone Sod Succinate","HYDRNEO10L"
"Antihemophilic Factor (Recombinant)","ANTI250I"
"Nortriptyline","NORT25"
"Clopidogrel Desensitization","CLOP0.5L"
"CeftazIDIME","CEFT1F"
"Letairis 5mg",NULL
"MetronidAZOLE Topical 1 % Gel","METR1G"
"Bupropion SR","BUPR100SR"
"Daptomycin","DAPT500I"
"Bromday",NULL
"Thiamine","THIA100I"
"Fluorouracil","5FU500I"
"Lodosyn",NULL
"Hydroxyurea Suspension","HYDR1000L"
"Entecavir","ENTE1"
"Hemabate","CARB250I"
"fluocinolone","SNLR260O"
"Cystospaz",NULL
"Bismuth Subsalicylate","PEPT240L"
"Fentanyl Citrate","FENT2.5I"
"Defibrotide (IND)","DEFI80I"
"Levemir",NULL
"Clopidogrel Bisulfate","CLOP75"
"SKELAXIN","META800"
"Loraze","LORA5"
"TOLVAPTAN","TOLV30"
"CGT003-03 E2F Decoy ","DECOYIND"
"*NF* Butorphanol Tart. Nasal","BUTO1N"
"Heparin Flush Midline (100 units/ml)","HEPF100I"
"ValGANCIclovir Suspension","VALC60L"
"Amoxicillin-Clavulanic Acid","AUGM875L"
"Dopamine HCl","DOPA400I"
"ACD-A 3% Flush","ACDA2.5I"
"ChlorproPAMIDE","CHPR100"
"Tobramycin Fortified Ophth. Soln.",NULL
"Hydrocortisone Acetate Ointment 1%","ANUSHCOINT"
"Clofarabine","CLOF20I"
"Lansoprazole","LANS30"
"Vitamin C","ASCO500"
"Lotronex",NULL
"Tobramycin-Dexamethasone Ophth Oint","TBDX3.5O"
"Betamethasone Acet & Sod Phos","BETA30I"
"Aprotinin (Bovine)","APRO100I"
"Cytra-2",NULL
"Chlorpromazine HCl","THOR10"
"darbepoetin alfa in polysorbat","DARB200I"
"ESTROGEN PATCH","ESTR1P"
"Neomycin-Polymyxin-Dexameth Ophth. Oint","MAXIEO"
"Carafate",NULL
"famotidine",NULL
"Albumin 5% (2.5gm)","ALBU5250"
"Morphine Sulfate PF","DURA100I"
"Torsemide","TORS100"
"Pravastatin","PRAV10L"
"Cetacaine","CETA56T"
"Erythromycin Topical Solution",NULL
"dexamethasone oral solution",NULL
"Albumin 25% (12.5 g)","ALBU25100I"
"Caspofungin Acetate","CANC70I"
"5% Dextrose","D5W1000"
"Prazosin HCl","PRAZ1"
"Stavudine","STAV30"
"Misoprostol","MISO200"
"Mesalamine DR","MESA400"
"Tacrolimus","TACRSUSPBN"
"LaMICtal","LAMO100XR"
"Penicillin G K Desensitization","PENDESEN"
"Methotrexate Sodium","MTX1000I"
"Nasonex","CROM40N"
"OLANZapine","OLAN5DTB"
"albuter","ALBU5H"
"Vancocin",NULL
"Albuterol Neb Soln","ALBU3H"
"NiCARdipine IV","NICA40PM"
"Sterile Water","SW1000"
"LeVETiracetam Solution","LEVE100L"
"Cabergoline","CABE0.5"
"Piperacillin-Tazobactam","ZOSY4.5I"
"Fluocinonide 0.05% Ointment","LIDX60O"
"Propofol (Generic)","PROP500IG"
"Tacrolimus","TACR1SM"
"Ergocalciferol","ERGO400T"
"Chromium Picolinate",NULL
"Astelin","AZEL137N"
"Anusol-HC Suppository","ANHC25R"
"Chlordiazepoxide HCl","CHLO25"
"Guaifenesin","GUAI600"
"CefTRIAXone","CEFX1F"
"Atazanavir","ATAZ200"
"Calcipotriene 0.005% Cream","CALC.005C"
"nutra","UREA10L"
"Anzemet","DOLA100I"
"Diltiazem","DILT60"
"Pantoprazole Sodium","PANT40"
"Chlorpromazine HCl","THOR25"
"Diazoxide",NULL
"Dexmedetomidine Hcl","DEXM200I"
"Ritonavir/Lopinavir","KALE1L"
"Sulfameth/Tri","BACT20L"
"Lacosamide","LACO200I"
"potas","MICROK10"
"Kaolin/Pectin","KAOP180L"
"Albumin 5% (12.5g / 250mL)","ALBU5500"
"Propecia","FINA1"
"Acetic Acid 0.04% Soln","ACET0.04IR"
"AcetaZOLAMIDE","ACE500I"
"0.9% Sodium Chloride","NS150"
"Sodium Polystyrene Sulfonate","KAYE15L"
"bismu","PEPT240L"
"Ciprofloxacin","CIPR200PM"
"Heparin Flush CRRT (5000 Units/mL)","HEPF100I"
"Cefazolin","CEFA10I"
"Ibup","IBUP600"
"Mycophenolate Mofetil","MYCO500SM"
"Heparin","COSO5ES"
"Rosiglitazone Maleate","ROSI4"
"valproic acid","VAL250L"
"Imipramine HCl","IMIP50"
"Iron Dextran","IRON100I"
"Code EPA/DHA 26 Study Med",NULL
"Memantine","MEMA10"
"HydrALAzine","HYDZ50"
"fidaxomicin","FIDA200"
"Vivelle","ESTR0.05T"
"CeftAZIDime","CEFT1V"
"LevoFLOXacin","LEVO750PM"
"Ranitidine HCl","RANI150L"
"Clonidine TTS 1 Patch","CLON3P"
"Xeloda",NULL
"Diphenoxylate-Atropine","LOMO"
"Pemoline","PEMO375"
"PrimiDONE","PRIM"
"Zovirax","ACY5O"
"Etomidate",NULL
"Methylene Blue","METHB1I"
"Oxazepam","OXAZ15"
"Albumin 5% (25g / 500mL)","ALBU5250"
"Lansoprazole",NULL
"Atorvastatin Study Drug","ATORSTUDY"
"Clindamycin","CLIN300PM"
"Aromasin","EXEM25"
"Pulmicort",NULL
"Pramipexole Dihydrochloride","PRAM1"
"Loxapine Succinate","LOXA10"
"Glipizide","GLUC10XL"
"Digoxin","DIGO125"
"NEO*IV*Hydralazine","NHYDRA"
"Morphine (PF)","ASTR5000I"
"Methylene Blue 1%","MBLU1I"
"Amitriptyline HCl","AMIT50"
"oxyCODONE",NULL
"Cisatracurium Besylate","CISA10I"
"Cyproheptadine HCl","CYPR4"
"Amphotericin B Oral Suspension","AMPOBORAL"
"Aspirin","ASAEC325"
"Miralax","GLYC17"
"Bupivacaine","BUPI5I"
"PrevACID 24Hr","LANS15"
"Pyridoxine HCl","PYRI100"
"ethyl chloride",NULL
"NS (Irrigation Bottle)","NS1000IBTL"
"Methylprednisolone Sodium Succ","METH125I"
"sodium Bica","NABC50I"
"Pediatric Vitamins ADC","NEOTRIVIT"
"Cephalexin Suspension","CEPH50L"
"Morphine Sulfate (2-6mg)","MORP2-6"
"sunitinib",NULL
"Terazosin HCl","TERAZ2"
"LANSOPR","LANS30L"
"Loperamide HCl","LOPE1L"
"Polyethylene Glycol 400 (Bulk)",NULL
"Montelukast Sodium","MONT5"
"Amphetamine Salt Combo","ADDE5"
"OxycodONE ","OXYCO5L"
"Alteplase 1mg/Flush Volume ( Dialysis/Pheresis Catheters )","ALTE1I"
"Travatan","TRAV004OS"
"Asparaginase","ASPAR1I"
"Sulfasalazine EC","SULF500EC"
"Insulin","HUMA75/25I"
"MBL-HCV1 study med (*IND*)","MBLHCV1IND"
"Caspofungin","CANC70I"
"ValGANCIclovir","VALGA450"
"Mycophenolate Mofetil Suspension","MYCO1000L"
"Cytarabine","CYTA1I"
"Silver Nitrate","SILV1T"
"Tetanus Immune Globulin","TETA250I"
"Albumin 5","ALBU5250"
"Penicillin G Potassium","PENGK20I"
"Levofloxacin","LEVO500PM"
"Zemplar",NULL
"Ethanol 70% Catheter DWELL","ETHAN70I"
"Factor 9 Complex","FACT9"
"0.9% Sodium Chloride","NS1000"
"Cephalexin Desensitization","CEPHDESEN50L"
"Albumin 5%","ALBU5500NF"
"Insulin","INSU100SYR"
"Levetiracetam","LEVE500"
"PACLItaxel","TAXO30I"
"Prochlorperazine Maleate","PROC10"
"NEOMYCIN_POLYMYXIN_BACITRACIN",NULL
"Phentolamine Mesylate","PHEN5I"
"Ranitidine ","RANI150"
"Desmopressin Acetate","DDAV400I"
"Cefotetan","CEFO2F"
"Mitomycin","MITO5I"
"Myfortic","MYFO180"
"Cyclobenzaprine","CYCL10"
"melatonin",NULL
"Doxacurium Chloride","DOXA5I"
"Acetaminophen","ACET650R"
"rivastigmine","RIVA3"
"Iloprost","ILOP10INH"
"Sodium CITRATE 4%","SODCIT3SYR"
"Zemuron","ROCU50I"
"Bupivacaine 0.50%","BUPIWE5I"
"Niacin","NIAC100"
"Desmopressin ","DDAV1ND"
"Tricor","FENO54"
"Acetaminophen","ACET100L"
"Pramoxine","PRAM1L"
"Labetalol","LABE100I"
"PrednisoLONE Acetate 1% Ophth. Susp.","PRED1ES"
"keto","KETO15I"
"lidoc","LIDO5O"
"Ergocalciferol","ERGO8000LNEO"
"Furosemide","BACTDS"
"Vitamin A","VITAMA10000"
"tacrolimus","TACR0.1O"
"Ziprasidone","ZIPR40"
"Lansoprazole Oral Solution","LANS30L"
"Excedrin Aspirin Free",NULL
"GlipiZIDE XL","GLUC2.5XL"
"Dronabinol","DRON25"
"Chlorpromazine","THOR25I"
"PHENYLEPHrine","PHEN50I"
"Nasacort",NULL
"Cyclopentolate 1%","CYCL1/2ES"
"regular insulin","RHIIND"
"Divalproex ","DIVA125SP"
"Sirolimus","SIRO5L"
"Ceftriaxone Sodium","CEFR2I"
"Dakins","DAKINHS480L"
"Flecainide","FLEC50"
"ValGANCIclovir Oral Solution","VALG50L"
"Hydroxyzine HCl","HYDR25I"
"aminoc","AMIC250L"
"LeVETiracetam Oral Solution","LEVE100L"
"Aspir","ASA325"
"Pramipexole Dihydrochloride","PRAM.25"
"Alfuzosin",NULL
"pota","MICROK10"
"Nascobal",NULL
"viok","VIOK"
"Glipizide XL","GLUC10XL"
"Glutamine","GLUT5"
"Sertraline HCl","SERT50"
"Calcipotriene","CALC.005C"
"Atropine Sulfate Ophth 1%","ATRO1/15ES"
"Sucralfate","CARA1"
"HydrOXYzine HCl","HYDR10L"
"Dipyridamole","DIPY50"
"Humira",NULL
"Xopenex","LEVA0.63L"
"magnesium oxide-Mg AA chelate",NULL
"Sulfameth/Trimethoprim DS","BACT20L"
"Morphine S","MOR10L"
"Xopenex (levalbuterol)",NULL
"glycopyrrolate","GLYC1"
"Cimetidine","CIME400"
"Isordil","ISOS10"
"Albumin 5% (","ALBU5250"
